latitude,longitude,dist_to_ac_1,dist_to_ac_3,dist_to_hydro_1,dist_to_hydro_3,install_year_hydro_3,dist_to_busline_1,dist_to_busline_3,dist_to_busstop_1,dist_to_busstop_3,dist_to_metroline_1,dist_to_metroline_3,dist_to_metrostop_1,dist_to_metrostop_3,lashade_ua_pop,lashade_cbg_pop,lashade_acs_pop,lashade_biome,lashade_tc_goal,lashade_treecanopy,lashade_tc_gap,lashade_pctpoc,lashade_pctpov,lashade_unemplrate,lashade_dep_ratio,lashade_dep_perc,lashade_linguistic,lashade_health_nor,lashade_temp_diff,lashade_tes,lashade_holc_grade,lashade_child_perc,lashade_seniorperc,lashade_ej_disadva,lashade_rank,lashade_rankgrpsz,lashade_bld1200,lashade_veg1200,lashade_bld1500,lashade_veg1500,lashade_bld1800,lashade_veg1800,lashade_tot1200,lashade_tot1500,lashade_tot1800,dist_to_venue1,closest_venue_sport,dist_to_venue3,cva_population,cva_children,cva_older_adults,cva_older_adults_living_alone,cva_limited_english,cva_no_high_school_diploma,cva_female,cva_female_householder,cva_disability,cva_no_health_insurance,cva_living_in_group_quarters,cva_mobile_homes,cva_rent_burden,cva_renters,cva_median_income,cva_poverty,cva_households_without_vehicle_acce,cva_outdoor_workers,cva_unemployed,cva_foreign_born,cva_no_internet_subscription,cva_voter_turnout_rate,cva_sovi_score,cva_asthma,cva_cardiovascular_disease,cva_transit_access,pm25,pm25_percentile,tree_percent_w,urban_heat_idx,urban_heat_idx_percentile,dist_to_vacant_park_1,dist_to_vacant_park_3,dist_to_vacant_street_1,dist_to_vacant_street_3,land_surface_temp_c,heat_temp_severity,heat_uhi_intensity,heat_canopy_deficit,heat_air_quality_impact,heat_vegetation_deficit,HEAT_VULNERABILITY_INDEX,pop_density_score,pop_vulnerable_score,pop_olympic_proximity,pop_transit_access,POPULATION_IMPACT_INDEX,access_cooling_gap,access_hydration_gap,access_planting_opportunity,access_multimodal_transit,access_infrastructure_gap,ACCESSIBILITY_INDEX,equity_social_vulnerability,equity_economic_disadvantage,equity_environmental_justice,equity_health_vulnerability,equity_education_gap,equity_housing_burden,EQUITY_INDEX,coverage_existing_shade,coverage_spatial_isolation,coverage_priority_score,COVERAGE_EFFICIENCY_INDEX,interact_heat_population,interact_heat_equity,interact_population_access,interact_equity_access,REWARD_POTENTIAL_SCORE,priority_rank,priority_tier
33.996653,-118.31591882566887,3.846106549830389,4.420791296773908,0.7615447507927545,1.3762749733854571,2021,0.2068799118578824,0.353386763010093,0.1964714571762686,0.2746403381270085,1.37322255581104,1.720979092243649,1.6662262930287135,1.8847091584368367,12235584,2039,2114.0,Mediterranean,0.25,0.086,0.164,0.933301797540208,0.480463096960926,0.050653594771242,0.376302083333333,0.273415326395459,0.089868731066981,0.465624924060927,2.8,73,C,0.145695364238411,0.127719962157048,Yes,1695.0,2675,0.0008,0.1633,0.0517,0.2229,0.4362,0.2735,0.1642,0.2746,0.7097,3.0240240809506185,Diving,3.2399524051866493,7322,26.8,10.2,4.0,10.0,35.6,51.4,21.9,12.0,14.7,2.6,0.0,67.9,53.3,45132,18.9,13.0,6.5,5.1,31.5,30.2,53.9,-0.54,109.0,13.1,100.0,11.95360692,0.243388960205392,4.1,2662.6,0.289602013528394,0.4425685695973521,0.4463586266752524,0.0332788194736891,0.0762708554521909,47.85777259236673,0.45658176089081515,0.11611843585474502,0.5171370967741937,0.06640959973489657,0.6732321601549888,0.3658958106819279,0.9459734964322121,0.41333333333333333,0.00789795995931046,0.02813842388286341,0.3488358034019298,0.8075281566131938,0.3322118137062754,0.17843781621733282,1.0000000000000002,0.7897278893221634,0.6215811351717931,0.29800724637681164,0.09025787965616039,1.0,0.7072010869565217,0.5166908563134978,0.6375838926174497,0.5416234936534069,0.6931708881051618,0.29353140234424124,0.5333150938007936,0.5066724614167323,0.12763755908063074,0.19817776729469133,0.216829754667136,0.33666294602079716,0.45320469127910373,573,Medium
33.996653,-118.31417265133776,3.7300212188471895,4.37275385035031,0.8243898110968764,1.413987537673075,2021,0.3682055423882711,0.4071725205656397,0.3573642014824703,0.403942931447879,1.5345479418419283,1.8272269077653016,1.8017929970242577,2.0204628439707872,12235584,2039,2114.0,Mediterranean,0.25,0.086,0.164,0.933301797540208,0.480463096960926,0.050653594771242,0.376302083333333,0.273415326395459,0.089868731066981,0.465624924060927,2.8,73,C,0.145695364238411,0.127719962157048,Yes,1695.0,2675,0.0008,0.1633,0.0517,0.2229,0.4362,0.2735,0.1642,0.2746,0.7097,2.8946438064312683,Diving,3.108420150472542,7322,26.8,10.2,4.0,10.0,35.6,51.4,21.9,12.0,14.7,2.6,0.0,67.9,53.3,45132,18.9,13.0,6.5,5.1,31.5,30.2,53.9,-0.54,109.0,13.1,100.0,11.95360692,0.243388960205392,4.1,2662.6,0.289602013528394,0.3939933264616753,0.3977720157318747,0.0246114540933433,0.0340227969783219,47.89459450457192,0.4608102132337075,0.11611843585474502,0.5171370967741937,0.06640959973489657,0.6732321601549888,0.36674150115050635,0.9459734964322121,0.41333333333333333,0.00982698155671085,0.0031295825993352677,0.3430658484803979,0.781849838605953,0.36100264137635235,0.24821727512602007,1.0000000000000002,0.8099660013791712,0.6402071512974994,0.29800724637681164,0.09025787965616039,1.0,0.7072010869565217,0.5166908563134978,0.6375838926174497,0.5416234936534069,0.6931708881051618,0.0007714495830426493,0.41621111269631417,0.37005115012817286,0.12581648426517328,0.1986358131208322,0.2196332095630951,0.34675123394764684,0.4420789817855796,703,Medium
33.996653,-118.31242647700664,3.604057683996632,4.326031088081595,0.9117801480111845,1.4646844568071395,2021,0.3237898710473451,0.3923703009252468,0.3145240369347367,0.3798763136779557,1.6958733142042248,1.9344409334631256,1.941304571900132,2.116131376671656,12235584,1124,947.0,Mediterranean,0.25,0.0904,0.1596,0.98416050686378,0.326293558606125,0.037344398340249,0.53484602917342,0.348468848996832,0.089868731066981,0.465624924060927,3.05,74,C,0.166842661034847,0.181626187961985,Yes,1615.0,2675,0.0007,0.1484,0.0512,0.1855,0.36,0.254,0.1491,0.2367,0.6141,2.7686181576491418,Diving,2.979835830427865,7322,26.8,10.2,4.0,10.0,35.6,51.4,21.9,12.0,14.7,2.6,0.0,67.9,53.3,45132,18.9,13.0,6.5,5.1,31.5,30.2,53.9,-0.54,109.0,13.1,100.0,11.95360692,0.243388960205392,4.1,2662.6,0.289602013528394,0.4053065890704148,0.4071282826612821,0.0350474873754586,0.0391454344456712,48.03554687500002,0.476996509525212,0.11611843585474502,0.4949596774193548,0.06640959973489657,0.7939941879237972,0.3896956820916011,0.9459734964322121,0.41333333333333333,0.011873282919388412,0.006823236520397846,0.34450083730133285,0.7539864412428797,0.401038248279331,0.17026350504286983,1.0000000000000002,0.7946607074330645,0.623989780399629,0.29800724637681164,0.09025787965616039,1.0,0.7072010869565217,0.5166908563134978,0.6375838926174497,0.5416234936534069,0.8146841936518114,0.0007714495727388915,0.4891190960201824,0.4348582464149109,0.13425048877327062,0.21106833679610038,0.21496500181514702,0.3379675248640692,0.4525612187222415,584,Medium
33.996653,-118.31068030267554,3.4810156862606134,4.280678635064624,1.0174103598938924,1.486927773740841,2021,0.1624957691963146,0.3386161017061517,0.1575058464316103,0.2478401597062957,1.8571986728862155,2.0410085627257804,2.083968898447748,2.207726647741762,12235584,1124,947.0,Mediterranean,0.25,0.0904,0.1596,0.98416050686378,0.326293558606125,0.037344398340249,0.53484602917342,0.348468848996832,0.089868731066981,0.465624924060927,3.05,74,C,0.166842661034847,0.181626187961985,Yes,1615.0,2675,0.0007,0.1484,0.0512,0.1855,0.36,0.254,0.1491,0.2367,0.6141,2.646426430615595,Diving,2.854600195442357,7322,26.8,10.2,4.0,10.0,35.6,51.4,21.9,12.0,14.7,2.6,0.0,67.9,53.3,45132,18.9,13.0,6.5,5.1,31.5,30.2,53.9,-0.54,109.0,13.1,100.0,11.95360692,0.243388960205392,4.1,2662.6,0.289602013528394,0.4482101605361539,0.4560826809125,0.0285036431924067,0.0303493032504843,48.00625000000002,0.47363219647588295,0.11611843585474502,0.4949596774193548,0.06640959973489657,0.7939941879237972,0.3890228194817353,0.9459734964322121,0.41333333333333333,0.014036647216073811,0.03977365311421845,0.3532792825239594,0.7267692939999697,0.4494299788680483,0.2111649739501729,1.0000000000000002,0.7618687678829331,0.6298466029402248,0.29800724637681164,0.09025787965616039,1.0,0.7072010869565217,0.5166908563134978,0.6375838926174497,0.5416234936534069,0.8146841936518114,0.0007714495727388915,0.4891190960201824,0.4348582464149109,0.13743370255195522,0.21070389859859612,0.22251175598687575,0.3411397175502147,0.4557253357530575,546,Medium
33.996653,-118.30893412834442,3.36121608180155,4.236769277975005,1.1362046324989028,1.505929601988466,2021,0.0012015794908101,0.2621338150886905,0.0523723554625259,0.1630411556657941,2.0185240178762247,2.1477298707040493,2.229180744219775,2.3043342534085216,12235584,1124,947.0,Mediterranean,0.25,0.0904,0.1596,0.98416050686378,0.326293558606125,0.037344398340249,0.53484602917342,0.348468848996832,0.089868731066981,0.465624924060927,3.05,74,C,0.166842661034847,0.181626187961985,Yes,1615.0,2675,0.0007,0.1484,0.0512,0.1855,0.36,0.254,0.1491,0.2367,0.6141,2.5286244908431,Diving,2.7331760581069084,7322,26.8,10.2,4.0,10.0,35.6,51.4,21.9,12.0,14.7,2.6,0.0,67.9,53.3,45132,18.9,13.0,6.5,5.1,31.5,30.2,53.9,-0.54,109.0,13.1,100.0,11.95360692,0.243388960205392,4.1,2662.6,0.289602013528394,0.5381131999812215,0.5488452198575794,0.0306908678204274,0.0446716282074464,47.30425415039065,0.3930183495240902,0.11611843585474502,0.4949596774193548,0.06640959973489657,0.7939941879237972,0.3729000500913767,0.9459734964322121,0.41333333333333333,0.01631271132177784,0.15561129767326626,0.3828077096901473,0.7002693709314237,0.5038524810378596,0.19094098049261068,1.0000000000000002,0.7419152144018144,0.6273956093727417,0.29800724637681164,0.09025787965616039,1.0,0.7072010869565217,0.5166908563134978,0.6375838926174497,0.5416234936534069,0.8146841936518114,0.0007714495830426493,0.4891190960243039,0.4348582464197193,0.14274901411882113,0.2019714279140219,0.2401718762936336,0.33981220185127253,0.4577804130144812,528,Medium
33.996653,-118.3071879540133,3.245017998644653,4.194393427838414,1.264458151825531,1.538068636138866,2021,0.1600926980585867,0.3227927473911336,0.171027974545811,0.2426579066202729,2.179849349161182,2.2546126360651084,2.3764731647576025,2.405714874846043,12235584,1519,1424.0,Mediterranean,0.3,0.0889,0.2111,0.999297752808989,0.587447108603667,0.173165137614679,0.58046614872364,0.367275280898876,0.104429451452039,0.465624924060927,3.86,60,C,0.241573033707865,0.125702247191011,Yes,2471.0,2675,0.0007,0.1756,0.0551,0.211,0.3576,0.278,0.1763,0.2661,0.6357,2.415854588363293,Diving,2.6160965584325937,7322,26.8,10.2,4.0,10.0,35.6,51.4,21.9,12.0,14.7,2.6,0.0,67.9,53.3,45132,18.9,13.0,6.5,5.1,31.5,30.2,53.9,-0.54,109.0,13.1,100.0,11.95360692,0.243388960205392,4.1,2662.6,0.289602013528394,0.6559678613126309,0.6682203743429603,0.0268221436614004,0.0428877148816566,47.66945800781252,0.43495661437963484,0.11611843585474502,0.7545362903225807,0.06640959973489657,0.7116564417177914,0.4167354764019297,0.9459734964322121,0.41333333333333333,0.018691236137050288,0.03394857616776658,0.35298666051759053,0.6745661119075387,0.5626084907408474,0.21698974141203234,1.0000000000000002,0.7664882213580961,0.644130513083703,0.29800724637681164,0.09025787965616039,1.0,0.7072010869565217,0.5166908563134978,0.6375838926174497,0.5416234936534069,0.7204232125681308,0.0007714495830426493,0.4325625073740956,0.3845857231750897,0.14710206413432433,0.22571372465813008,0.22736947875089847,0.3488762188651567,0.4617955070322372,476,Medium
33.996653,-118.30544177968218,3.1328222096234937,4.1536596632991225,1.3995728608184717,1.582866669130366,2021,0.3213870634369675,0.3765469013804138,0.320011532875811,0.3740830618419524,2.3411746667319893,2.3612830663539826,2.4258281906715866,2.5116398719027857,12235584,1519,1424.0,Mediterranean,0.3,0.0889,0.2111,0.999297752808989,0.587447108603667,0.173165137614679,0.58046614872364,0.367275280898876,0.104429451452039,0.465624924060927,3.86,60,C,0.241573033707865,0.125702247191011,Yes,2471.0,2675,0.0007,0.1756,0.0551,0.211,0.3576,0.278,0.1763,0.2661,0.6357,2.3088541708193966,Diving,2.5039731282235733,7322,26.8,10.2,4.0,10.0,35.6,51.4,21.9,12.0,14.7,2.6,0.0,67.9,53.3,45132,18.9,13.0,6.5,5.1,31.5,30.2,53.9,-0.54,109.0,13.1,100.0,11.95360692,0.243388960205392,4.1,2662.6,0.289602013528394,0.7893518893438979,0.7965266092824071,0.0215011079319268,0.0250382821388402,48.51845703125002,0.5324516029549891,0.11611843585474502,0.7545362903225807,0.06640959973489657,0.7116564417177914,0.43623447411700056,0.9459734964322121,0.41333333333333333,0.021153972909518426,0.005054484605305866,0.3463788218200924,0.6497481687173213,0.6245077757997435,0.26699395804001225,1.0000000000000002,0.7988050042571025,0.6680109813628359,0.29800724637681164,0.09025787965616039,1.0,0.7072010869565217,0.5166908563134978,0.6375838926174497,0.5416234936534069,0.7204232125681308,0.0007714495727388915,0.43256250736997404,0.3845857231702812,0.15110238318195424,0.23627483992330656,0.2313848566873428,0.36181044152458003,0.47076934032772955,389,Medium-High
33.996653,-118.30369560535108,3.025074066119719,4.114695240723081,1.41215152746096,1.6398289347974566,2021,0.325540308443368,0.3779207111740108,0.3172259511137709,0.3770389390329884,2.397140037440668,2.433795782005188,2.452350119680741,2.5911584230250417,12235584,1381,1765.0,Mediterranean,0.3,0.0792,0.2208,0.980169971671388,0.396933560477002,0.071784646061815,0.457473162675475,0.313881019830028,0.065123010130246,0.525105406207325,3.74,63,C,0.201699716713881,0.112181303116147,Yes,2338.0,2675,0.0009,0.1432,0.0609,0.1651,0.3962,0.1989,0.1441,0.226,0.5951,2.2084619955560982,Diving,2.3975021398510936,5616,25.3,9.2,8.9,22.4,44.1,43.2,23.0,9.2,33.4,0.5,0.0,62.1,42.0,46654,29.6,4.4,8.5,8.7,51.1,39.8,50.6,1.24,70.8,8.3,100.0,11.96219866,0.239024390243902,4.1,3066.7,0.330029888312097,0.6625840366895507,0.7393820801891343,0.0335275612355117,0.0388390445383165,48.01885375976565,0.47507955198564567,0.2070377536786212,0.8034274193548387,0.0898392668561172,0.8598643848886018,0.48704967535276494,0.6561331974176011,0.37629629629629635,0.02367220175409225,0.005301282387310181,0.26535074446382495,0.6259140540178494,0.6302703643289087,0.16858120173761307,1.0000000000000002,0.7803899564075178,0.6410311152983779,0.45923913043478265,0.2435530085959885,1.0,0.5421195652173911,0.6400580551523948,0.442953020134228,0.5546537965891308,0.8489900609169605,0.0007714495727388915,0.5097026163792718,0.45315470895632376,0.12923899394572044,0.2701439515619147,0.17009808366890058,0.3555503418320102,0.46917235216546327,409,Medium-High
33.996653,-118.30194943101996,2.922265582887966,4.075686778220146,1.4307291743354635,1.7083326499092135,2021,0.164214039596015,0.3241347122777671,0.1586496407527624,0.2428456176600708,2.3969286117181823,2.4874409195826934,2.489063863159569,2.6310420924263567,12235584,1381,1765.0,Mediterranean,0.3,0.0792,0.2208,0.980169971671388,0.396933560477002,0.071784646061815,0.457473162675475,0.313881019830028,0.065123010130246,0.525105406207325,3.74,63,C,0.201699716713881,0.112181303116147,Yes,2338.0,2675,0.0009,0.1432,0.0609,0.1651,0.3962,0.1989,0.1441,0.226,0.5951,2.115619011865656,Diving,2.297468691408344,5616,25.3,9.2,8.9,22.4,44.1,43.2,23.0,9.2,33.4,0.5,0.0,62.1,42.0,46654,29.6,4.4,8.5,8.7,51.1,39.8,50.6,1.24,70.8,8.3,100.0,11.96219866,0.239024390243902,4.1,3066.7,0.330029888312097,0.5405139880385793,0.6132429040137466,0.0209531018564916,0.0242776140825511,48.29476318359377,0.5067636710262562,0.2070377536786212,0.8034274193548387,0.0898392668561172,0.8598643848886018,0.49338649916088706,0.6561331974176011,0.37629629629629635,0.026204179268905482,0.038412252284247876,0.27426148131676265,0.6031726025019029,0.6387812294166505,0.27999426795976967,1.0000000000000002,0.7347434600664595,0.6513383119889566,0.45923913043478265,0.2435530085959885,1.0,0.5421195652173911,0.6400580551523948,0.442953020134228,0.5546537965891308,0.8489900609169605,0.0007714495830426493,0.5097026163833933,0.45315470896113214,0.13531691212155655,0.273658694945406,0.17863701028445095,0.3612672676086306,0.4753625228597309,355,Medium-High
33.996653,-118.30020325668885,2.8249361216734217,3.936429248591415,1.4669219761783685,1.78758725801384,2021,0.0028877707368512,0.2629276652197615,0.0176365743049643,0.1410192448183511,2.396642341057436,2.541118117128365,2.525206006472806,2.600585558196854,12235584,1381,1765.0,Mediterranean,0.3,0.0792,0.2208,0.980169971671388,0.396933560477002,0.071784646061815,0.457473162675475,0.313881019830028,0.065123010130246,0.525105406207325,3.74,63,C,0.201699716713881,0.112181303116147,Yes,2338.0,2675,0.0009,0.1432,0.0609,0.1651,0.3962,0.1989,0.1441,0.226,0.5951,2.0313605871135856,Diving,2.204745360372689,5616,25.3,9.2,8.9,22.4,44.1,43.2,23.0,9.2,33.4,0.5,0.0,62.1,42.0,46654,29.6,4.4,8.5,8.7,51.1,39.8,50.6,1.24,70.8,8.3,100.0,11.96219866,0.239024390243902,4.1,3066.7,0.330029888312097,0.4442334115715198,0.5077746207067765,0.0159586008956849,0.030446857660511,48.2250915527344,0.49876291405581963,0.2070377536786212,0.8034274193548387,0.0898392668561172,0.8598643848886018,0.49178634776679975,0.6561331974176011,0.37629629629629635,0.02869297864811384,0.38769510139133345,0.36220439343833616,0.5816431221155983,0.655362018992056,0.3561050736191719,1.0000000000000002,0.6967403500069768,0.6579701129467608,0.45923913043478265,0.2435530085959885,1.0,0.5421195652173911,0.6400580551523948,0.442953020134228,0.5546537965891308,0.8489900609169605,0.0007714495830426493,0.5097026163833933,0.45315470896113214,0.17812717579412835,0.2727711648995581,0.23831966566043503,0.3649456211881001,0.49819456566345893,153,Medium-High
